url_name,English,Chinese
arcane_acceleration,Arcane Acceleration,赋能·加速
arcane_aegis,Arcane Aegis,赋能·神盾
arcane_agility,Arcane Agility,赋能·灵敏
arcane_arachne,Arcane Arachne,赋能·蜘蛛
arcane_aura_helmet,Arcane Aura Helmet,预言 秘奥头盔
arcane_aurora_helmet,Arcane Aurora Helmet,极光 秘奥头盔
arcane_avalon_helmet,Arcane Avalon Helmet,阿瓦隆 秘奥头盔
arcane_avenger,Arcane Avenger,赋能·复仇者
arcane_awakening,Arcane Awakening,赋能·觉醒
arcane_backdraft_helmet,Arcane Backdraft Helmet,复燃 秘奥头盔
arcane_barrier,Arcane Barrier,赋能·壁垒
arcane_battery,Arcane Battery,赋能·电池
arcane_bellicose,Arcane Bellicose,赋能·黩武
arcane_blade_charger,Arcane Blade Charger,赋能·刀刃充能
arcane_blessing,Arcane Blessing,赋能·赐福
arcane_bodyguard,Arcane Bodyguard,赋能·卫士
arcane_camisado,Arcane Camisado,赋能·奇袭
arcane_chlora_helmet,Arcane Chlora Helmet,氯毒 秘奥头盔
arcane_chorus_helmet,Arcane Chorus Helmet,合音 秘奥头盔
arcane_coil_helmet,Arcane Coil Helmet,线圈 秘奥头盔
arcane_consequence,Arcane Consequence,赋能·结果
arcane_crepuscular,Arcane Crepuscular,赋能·影袭
arcane_deflection,Arcane Deflection,赋能·偏折
arcane_double_back,Arcane Double Back,赋能·回返
arcane_energize,Arcane Energize,赋能·充沛
arcane_eruption,Arcane Eruption,赋能·爆发
arcane_escapist,Arcane Escapist,赋能·脱逃
arcane_esprit_helmet,Arcane Esprit Helmet,机敏 秘奥头盔
arcane_essence_helmet,Arcane Essence Helmet,本质 秘奥头盔
arcane_flux_helmet,Arcane Flux Helmet,通量 秘奥头盔
arcane_fury,Arcane Fury,赋能·狂怒
arcane_gambit_helmet,Arcane Gambit Helmet,策略 秘奥头盔
arcane_grace,Arcane Grace,赋能·优雅
arcane_guardian,Arcane Guardian,赋能·保卫者
arcane_healing,Arcane Healing,赋能·复原
arcane_hemlock_helmet,Arcane Hemlock Helmet,铁杉 秘奥头盔
arcane_hot_shot,Arcane Hot Shot,赋能·热火
arcane_ice,Arcane Ice,赋能·冰冷
arcane_ice_storm,Arcane Ice Storm,赋能·冰暴
arcane_impetus,Arcane Impetus,赋能·激励
arcane_intention,Arcane Intention,赋能·心相
arcane_locust_helmet,Arcane Locust Helmet,飞蝗 秘奥头盔
arcane_mag_gauss_helmet,Arcane Mag Gauss Helmet,Mag 高斯 秘奥头盔
arcane_menticide_helmet,Arcane Menticide Helmet,灭神 秘奥头盔
arcane_meridian_helmet,Arcane Meridian Helmet,经络 秘奥头盔
arcane_momentum,Arcane Momentum,赋能·动量
arcane_nullifier,Arcane Nullifier,赋能·消磁
arcane_pendragon_helmet,Arcane Pendragon Helmet,潘德拉冈 秘奥头盔
arcane_phantasm,Arcane Phantasm,赋能·幻象
arcane_phoenix_helmet,Arcane Phoenix Helmet,凤凰 秘奥头盔
arcane_pistoleer,Arcane Pistoleer,赋能·枪炮
arcane_power_ramp,Arcane Power Ramp,赋能·力升
arcane_precision,Arcane Precision,赋能·精确
arcane_primary_charger,Arcane Primary Charger,赋能·主武充能
arcane_pulse,Arcane Pulse,赋能·生机
arcane_pulse_helmet,Arcane Pulse Helmet,脉冲 秘奥头盔
arcane_rage,Arcane Rage,赋能·愤怒
arcane_reaper,Arcane Reaper,赋能·收割
arcane_resistance,Arcane Resistance,赋能·抗毒
arcane_reverb_helmet,Arcane Reverb Helmet,返响 秘奥头盔
arcane_rise,Arcane Rise,赋能·崛起
arcane_scorpion_helmet,Arcane Scorpion Helmet,毒蝎 秘奥头盔
arcane_squall_helmet,Arcane Squall Helmet,飑风 秘奥头盔
arcane_steadfast,Arcane Steadfast,赋能·坚定
arcane_storm_helmet,Arcane Storm Helmet,风暴 秘奥头盔
arcane_strike,Arcane Strike,赋能·速攻
arcane_swindle_helmet,Arcane Swindle Helmet,诈欺 秘奥头盔
arcane_tanker,Arcane Tanker,赋能·坦克
arcane_tempo,Arcane Tempo,赋能·节奏
arcane_thrak_helmet,Arcane Thrak Helmet,震击 秘奥头盔
arcane_trickery,Arcane Trickery,赋能·诡计
arcane_truculence,Arcane Truculence,赋能·暴虐
arcane_ultimatum,Arcane Ultimatum,赋能·通牒
arcane_universal_fallout,Arcane Universal Fallout,赋能·辐照
arcane_vanguard_helmet,Arcane Vanguard Helmet,先锋 秘奥头盔
arcane_velocity,Arcane Velocity,赋能·迅速
arcane_vespa_helmet,Arcane Vespa Helmet,黄蜂 秘奥头盔
arcane_victory,Arcane Victory,赋能·胜利
arcane_warmth,Arcane Warmth,赋能·温暖
archarbor_scene,Archarbor Scene,言录书院场景
archgun_ace,Archgun Ace,曲翼枪械行家
archgun_riven_mod_(veiled),Archgun Riven Mod (Veiled),曲翼枪械裂罅 Mod （尚未揭开）
archon_continuity,Archon Continuity,执刑官 持久力
archon_flow,Archon Flow,执刑官 川流不息
archon_intensify,Archon Intensify,执刑官 聚精会神
archon_stretch,Archon Stretch,执刑官 延伸
archon_vitality,Archon Vitality,执刑官 生命力
argent_scourge,Argent Scourge,银白天灾
argon_plating,Argon Plating,氩晶装甲
argon_scope,Argon Scope,氩晶瞄具
armored_acrobatics,Armored Acrobatics,杂技装甲
armored_agility,Armored Agility,灵活装甲
armored_evade,Armored Evade,闪避装甲
armored_recovery,Armored Recovery,复原装甲
arrow_mutation,Arrow Mutation,箭矢转换
artillery_battery_scene,Artillery Battery Scene,光能炮台场景
artillery_cheap_shot,Artillery Cheap Shot,高效光能炮
arum_spinosa_blueprint,Arum Spinosa Blueprint,疆南星刺 蓝图
arum_spinosa_guard,Arum Spinosa Guard,疆南星刺 护手
arum_spinosa_rivet,Arum Spinosa Rivet,疆南星刺 铆钉
arum_spinosa_set,Arum Spinosa Set,疆南星刺 一套
ash_prime_blueprint,Ash Prime Blueprint,Ash Prime 蓝图
ash_prime_chassis_blueprint,Ash Prime Chassis Blueprint,Ash Prime 机体 蓝图
ash_prime_neuroptics_blueprint,Ash Prime Neuroptics Blueprint,Ash Prime 头部神经光元 蓝图
ash_prime_set,Ash Prime Set,Ash Prime 一套
ash_prime_systems_blueprint,Ash Prime Systems Blueprint,Ash Prime 系统 蓝图
assassin_posture,Assassin Posture,刺杀姿势
assault_mode,Assault Mode,突击模式
assimilate,Assimilate,同化
astilla_prime_barrel,Astilla Prime Barrel,碎裂者 Prime 枪管
astilla_prime_blueprint,Astilla Prime Blueprint,碎裂者 Prime 蓝图
astilla_prime_receiver,Astilla Prime Receiver,碎裂者 Prime 枪机
astilla_prime_set,Astilla Prime Set,碎裂者 Prime 一套
astilla_prime_stock,Astilla Prime Stock,碎裂者 Prime 枪托
astral_autopsy,Astral Autopsy,星界剖解
astral_bond,Astral Bond,星界连结
astral_slash,Astral Slash,星体切砍
astral_twilight,Astral Twilight,星界微光
athodai_barrel,Athodai Barrel,阿索代 枪管
athodai_blueprint,Athodai Blueprint,阿索代 蓝图
athodai_receiver,Athodai Receiver,阿索代 枪机
athodai_set,Athodai Set,阿索代 一套
atlantis_vulcan,Atlantis Vulcan,深渊之火
atlas_prime_blueprint,Atlas Prime Blueprint,Atlas Prime 蓝图
atlas_prime_chassis_blueprint,Atlas Prime Chassis Blueprint,Atlas Prime 机体 蓝图
atlas_prime_neuroptics_blueprint,Atlas Prime Neuroptics Blueprint,Atlas Prime 头部神经光元 蓝图
atlas_prime_set,Atlas Prime Set,Atlas Prime 一套
atlas_prime_systems_blueprint,Atlas Prime Systems Blueprint,Atlas Prime 系统 蓝图
atomic_fallout,Atomic Fallout,原子烟尘
auger_strike,Auger Strike,螺钻打击
augur_accord,Augur Accord,预言 协约
augur_message,Augur Message,预言 启示
augur_pact,Augur Pact,预言 契约
augur_reach,Augur Reach,预言 通灵
augur_secrets,Augur Secrets,预言 神密
augur_seeker,Augur Seeker,预言 探求
auto_breach,Auto Breach,自动破解
auto_omni,Auto Omni,万用自修
automatic_trigger,Automatic Trigger,自动扳机
auxiliary_power,Auxiliary Power,辅助动力
avenging_truth,Avenging Truth,复仇真相
aviator,Aviator,飞行员
axi_a1_relic,Axi A1 Relic,后纪 A1 遗物
axi_a10_relic,Axi A10 Relic,后纪 A10 遗物
axi_a11_relic,Axi A11 Relic,后纪 A11 遗物
axi_a12_relic,Axi A12 Relic,后纪 A12 遗物
axi_a13_relic,Axi A13 Relic,后纪 A13 遗物
axi_a14_relic,Axi A14 Relic,后纪 A14 遗物
axi_a15_relic,Axi A15 Relic,后纪 A15 遗物
axi_a16_relic,Axi A16 Relic,后纪 A16 遗物
axi_a17_relic,Axi A17 Relic,后纪 A17 遗物
axi_a18_relic,Axi A18 Relic,后纪 A18 遗物
axi_a19_relic,Axi A19 Relic,后纪 A19 遗物
axi_a2_relic,Axi A2 Relic,后纪 A2 遗物
axi_a3_relic,Axi A3 Relic,后纪 A3 遗物
axi_a4_relic,Axi A4 Relic,后纪 A4 遗物
axi_a5_relic,Axi A5 Relic,后纪 A5 遗物
axi_a6_relic,Axi A6 Relic,后纪 A6 遗物
axi_a7_relic,Axi A7 Relic,后纪 A7 遗物
axi_a8_relic,Axi A8 Relic,后纪 A8 遗物
axi_a9_relic,Axi A9 Relic,后纪 A9 遗物
axi_b1_relic,Axi B1 Relic,后纪 B1 遗物
axi_b2_relic,Axi B2 Relic,后纪 B2 遗物
axi_b3_relic,Axi B3 Relic,后纪 B3 遗物
axi_b4_relic,Axi B4 Relic,后纪 B4 遗物
axi_b5_relic,Axi B5 Relic,后纪 B5 遗物
axi_b6_relic,Axi B6 Relic,后纪 B6 遗物
axi_b7_relic,Axi B7 Relic,后纪 B7 遗物
axi_b8_relic,Axi B8 Relic,后纪 B8 遗物
axi_b9_relic,Axi B9 Relic,后纪 B9 遗物
axi_c1_relic,Axi C1 Relic,后纪 C1 遗物
axi_c2_relic,Axi C2 Relic,后纪 C2 遗物
axi_c3_relic,Axi C3 Relic,后纪 C3 遗物
axi_c4_relic,Axi C4 Relic,后纪 C4 遗物
axi_c5_relic,Axi C5 Relic,后纪 C5 遗物
axi_c6_relic,Axi C6 Relic,后纪 C6 遗物
axi_c7_relic,Axi C7 Relic,后纪 C7 遗物
axi_c8_relic,Axi C8 Relic,后纪 C8 遗物
axi_c9_relic,Axi C9 Relic,后纪 C9 遗物
axi_d1_relic,Axi D1 Relic,后纪 D1 遗物
axi_d2_relic,Axi D2 Relic,后纪 D2 遗物
axi_d3_relic,Axi D3 Relic,后纪 D3 遗物
axi_d4_relic,Axi D4 Relic,后纪 D4 遗物
axi_d5_relic,Axi D5 Relic,后纪 D5 遗物
axi_e1_relic,Axi E1 Relic,后纪 E1 遗物
axi_e2_relic,Axi E2 Relic,后纪 E2 遗物
axi_f1_relic,Axi F1 Relic,后纪 F1 遗物
axi_f2_relic,Axi F2 Relic,后纪 F2 遗物
axi_f3_relic,Axi F3 Relic,后纪 F3 遗物
axi_g1_relic,Axi G1 Relic,后纪 G1 遗物
axi_g10_relic,Axi G10 Relic,后纪 G10 遗物
axi_g11_relic,Axi G11 Relic,后纪 G11 遗物
axi_g12_relic,Axi G12 Relic,后纪 G12 遗物
axi_g13_relic,Axi G13 Relic,后纪 G13 遗物
axi_g14_relic,Axi G14 Relic,后纪 G14 遗物
axi_g2_relic,Axi G2 Relic,后纪 G2 遗物
axi_g3_relic,Axi G3 Relic,后纪 G3 遗物
axi_g4_relic,Axi G4 Relic,后纪 G4 遗物
axi_g5_relic,Axi G5 Relic,后纪 G5 遗物
axi_g6_relic,Axi G6 Relic,后纪 G6 遗物
axi_g7_relic,Axi G7 Relic,后纪 G7 遗物
axi_g8_relic,Axi G8 Relic,后纪 G8 遗物
axi_g9_relic,Axi G9 Relic,后纪 G9 遗物
axi_h1_relic,Axi H1 Relic,后纪 H1 遗物
axi_h2_relic,Axi H2 Relic,后纪 H2 遗物
axi_h3_relic,Axi H3 Relic,后纪 H3 遗物
axi_h4_relic,Axi H4 Relic,后纪 H4 遗物
axi_h5_relic,Axi H5 Relic,后纪 H5 遗物
axi_h6_relic,Axi H6 Relic,后纪 H6 遗物
axi_h7_relic,Axi H7 Relic,后纪 H7 遗物
axi_h8_relic,Axi H8 Relic,后纪 H8 遗物
axi_i1_relic,Axi I1 Relic,后纪 I1 遗物
axi_i2_relic,Axi I2 Relic,后纪 I2 遗物
axi_i3_relic,Axi I3 Relic,后纪 I3 遗物
axi_k1_relic,Axi K1 Relic,后纪 K1 遗物
axi_k10_relic,Axi K10 Relic,后纪 K10 遗物
axi_k11_relic,Axi K11 Relic,后纪 K11 遗物
axi_k12_relic,Axi K12 Relic,后纪 K12 遗物
axi_k2_relic,Axi K2 Relic,后纪 K2 遗物
axi_k3_relic,Axi K3 Relic,后纪 K3 遗物
axi_k4_relic,Axi K4 Relic,后纪 K4 遗物
axi_k5_relic,Axi K5 Relic,后纪 K5 遗物
axi_k6_relic,Axi K6 Relic,后纪 K6 遗物
axi_k7_relic,Axi K7 Relic,后纪 K7 遗物
axi_k8_relic,Axi K8 Relic,后纪 K8 遗物
axi_k9_relic,Axi K9 Relic,后纪 K9 遗物
axi_l1_relic,Axi L1 Relic,后纪 L1 遗物
axi_l2_relic,Axi L2 Relic,后纪 L2 遗物
axi_l3_relic,Axi L3 Relic,后纪 L3 遗物
axi_l4_relic,Axi L4 Relic,后纪 L4 遗物
axi_l5_relic,Axi L5 Relic,后纪 L5 遗物
axi_l6_relic,Axi L6 Relic,后纪 L6 遗物
axi_m1_relic,Axi M1 Relic,后纪 M1 遗物
axi_m2_relic,Axi M2 Relic,后纪 M2 遗物
axi_m3_relic,Axi M3 Relic,后纪 M3 遗物
axi_m4_relic,Axi M4 Relic,后纪 M4 遗物
axi_m5_relic,Axi M5 Relic,后纪 M5 遗物
axi_m6_relic,Axi M6 Relic,后纪 M6 遗物
axi_n1_relic,Axi N1 Relic,后纪 N1 遗物
axi_n10_relic,Axi N10 Relic,后纪 N10 遗物
axi_n11_relic,Axi N11 Relic,后纪 N11 遗物
axi_n12_relic,Axi N12 Relic,后纪 N12 遗物
axi_n13_relic,Axi N13 Relic,后纪 N13 遗物
axi_n2_relic,Axi N2 Relic,后纪 N2 遗物
axi_n3_relic,Axi N3 Relic,后纪 N3 遗物
axi_n4_relic,Axi N4 Relic,后纪 N4 遗物
axi_n5_relic,Axi N5 Relic,后纪 N5 遗物
axi_n6_relic,Axi N6 Relic,后纪 N6 遗物
axi_n7_relic,Axi N7 Relic,后纪 N7 遗物
axi_n8_relic,Axi N8 Relic,后纪 N8 遗物
axi_n9_relic,Axi N9 Relic,后纪 N9 遗物
axi_o1_relic,Axi O1 Relic,后纪 O1 遗物
axi_o2_relic,Axi O2 Relic,后纪 O2 遗物
axi_o3_relic,Axi O3 Relic,后纪 O3 遗物
axi_o4_relic,Axi O4 Relic,后纪 O4 遗物
axi_o5_relic,Axi O5 Relic,后纪 O5 遗物
axi_o6_relic,Axi O6 Relic,后纪 O6 遗物
axi_p1_relic,Axi P1 Relic,后纪 P1 遗物
axi_p2_relic,Axi P2 Relic,后纪 P2 遗物
axi_p3_relic,Axi P3 Relic,后纪 P3 遗物
axi_p4_relic,Axi P4 Relic,后纪 P4 遗物
axi_p5_relic,Axi P5 Relic,后纪 P5 遗物
axi_p6_relic,Axi P6 Relic,后纪 P6 遗物
axi_p7_relic,Axi P7 Relic,后纪 P7 遗物
axi_p8_relic,Axi P8 Relic,后纪 P8 遗物
axi_p9_relic,Axi P9 Relic,后纪 P9 遗物
axi_r1_relic,Axi R1 Relic,后纪 R1 遗物
axi_r2_relic,Axi R2 Relic,后纪 R2 遗物
axi_r3_relic,Axi R3 Relic,后纪 R3 遗物
axi_r4_relic,Axi R4 Relic,后纪 R4 遗物
axi_s1_relic,Axi S1 Relic,后纪 S1 遗物
axi_s10_relic,Axi S10 Relic,后纪 S10 遗物
axi_s11_relic,Axi S11 Relic,后纪 S11 遗物
axi_s12_relic,Axi S12 Relic,后纪 S12 遗物
axi_s13_relic,Axi S13 Relic,后纪 S13 遗物
axi_s14_relic,Axi S14 Relic,后纪 S14 遗物
axi_s15_relic,Axi S15 Relic,后纪 S15 遗物
axi_s16_relic,Axi S16 Relic,后纪 S16 遗物
axi_s17_relic,Axi S17 Relic,后纪 S17 遗物
axi_s2_relic,Axi S2 Relic,后纪 S2 遗物
axi_s3_relic,Axi S3 Relic,后纪 S3 遗物
axi_s4_relic,Axi S4 Relic,后纪 S4 遗物
axi_s5_relic,Axi S5 Relic,后纪 S5 遗物
axi_s6_relic,Axi S6 Relic,后纪 S6 遗物
axi_s7_relic,Axi S7 Relic,后纪 S7 遗物
axi_s8_relic,Axi S8 Relic,后纪 S8 遗物
axi_s9_relic,Axi S9 Relic,后纪 S9 遗物
axi_t1_relic,Axi T1 Relic,后纪 T1 遗物
axi_t10_relic,Axi T10 Relic,后纪 T10 遗物
axi_t11_relic,Axi T11 Relic,后纪 T11 遗物
axi_t12_relic,Axi T12 Relic,后纪 T12 遗物
axi_t2_relic,Axi T2 Relic,后纪 T2 遗物
axi_t3_relic,Axi T3 Relic,后纪 T3 遗物
axi_t4_relic,Axi T4 Relic,后纪 T4 遗物
axi_t5_relic,Axi T5 Relic,后纪 T5 遗物
axi_t6_relic,Axi T6 Relic,后纪 T6 遗物
axi_t7_relic,Axi T7 Relic,后纪 T7 遗物
axi_t8_relic,Axi T8 Relic,后纪 T8 遗物
axi_t9_relic,Axi T9 Relic,后纪 T9 遗物
axi_v1_relic,Axi V1 Relic,后纪 V1 遗物
axi_v10_relic,Axi V10 Relic,后纪 V10 遗物
axi_v11_relic,Axi V11 Relic,后纪 V11 遗物
axi_v12_relic,Axi V12 Relic,后纪 V12 遗物
axi_v2_relic,Axi V2 Relic,后纪 V2 遗物
axi_v3_relic,Axi V3 Relic,后纪 V3 遗物
axi_v4_relic,Axi V4 Relic,后纪 V4 遗物
axi_v5_relic,Axi V5 Relic,后纪 V5 遗物
axi_v6_relic,Axi V6 Relic,后纪 V6 遗物
axi_v7_relic,Axi V7 Relic,后纪 V7 遗物
axi_v8_relic,Axi V8 Relic,后纪 V8 遗物
axi_v9_relic,Axi V9 Relic,后纪 V9 遗物
axi_w1_relic,Axi W1 Relic,后纪 W1 遗物
axi_w2_relic,Axi W2 Relic,后纪 W2 遗物
axi_w3_relic,Axi W3 Relic,后纪 W3 遗物
axi_y1_relic,Axi Y1 Relic,后纪 Y1 遗物
axi_z1_relic,Axi Z1 Relic,后纪 Z1 遗物
axi_z2_relic,Axi Z2 Relic,后纪 Z2 遗物
axios_javelineers,Axios Javelineers,崇敬枪队
ayatan_amber_star,Ayatan Amber Star,阿耶檀识琥珀星
ayatan_anasa_sculpture,Ayatan Anasa Sculpture,阿耶檀识 Anasa 塑像
ayatan_ayr_sculpture,Ayatan Ayr Sculpture,阿耶檀识 Ayr 塑像
ayatan_cyan_star,Ayatan Cyan Star,阿耶檀识青蓝星
